order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-b151596e-5088-4ebd-bd1d-f8ff850c105b,CUST-b1799707-66a0-49a6-8d5d-38bd88743a29,Robert Gray,daltonandrea@example.net,Dominica,PROD-1a53cfdc-9006-4eec-8da8-08bcf0acaff6,Return,Books,1,266.56,2026-01-22
ORD-c057befa-accb-443b-8bfb-089fc6c1ee59,CUST-4c11f110-0c69-42f2-8b37-7742deee6359,Charles Collins,lwade@example.org,Ecuador,PROD-903cedd7-feb1-4b33-b9bc-9e5638f3b9d7,Carry,Home,3,421.97,2026-02-01
ORD-e8dbd7c3-7f7f-4edb-bb64-dc29ba48caca,CUST-cbe07639-d59a-49e7-bec1-512faceeed59,Brandon Wright,mitchell83@example.org,Wallis and Futuna,PROD-14b3d0b6-427b-4a69-bedb-ffdee024cd4f,She,Sports,2,80.46,2026-02-08
ORD-5208d299-e2d4-445d-a0a0-2d21398fe954,CUST-a8b0b67a-7309-4fef-9219-689454845cd3,John Smith,tabithacunningham@example.com,Mauritania,PROD-0204bc85-54da-4fb7-83a8-31980c6b2482,Option,Books,3,156.97,2026-02-13
ORD-2cbe3f70-03e6-48a2-abf2-bb40168078e4,CUST-c4bafc5a-016a-4e17-a73e-f9d3d5559a27,Patricia Williams,victoria21@example.org,Sierra Leone,PROD-ed473a47-f712-4702-a541-f0ef43243b72,Lot,Clothing,4,151.24,2026-02-12
ORD-29887490-9bb0-48d3-8b28-039406de26e7,CUST-6bc1b0f1-82f4-4742-925b-5cbd9a5f0ca5,Jeremy Shaw DDS,hurleyryan@example.net,Bahrain,PROD-21f0293e-fb08-4c4b-be15-1d4341d075b0,Teach,Electronics,2,221.31,2026-02-15
ORD-49037d64-4521-4811-ba94-2b8406dfcf5d,CUST-0520e44e-8551-49fc-a403-cc5986f249e4,Joseph Erickson,druiz@example.com,Nauru,PROD-ed532d8b-90c3-4aad-ada7-47f6fb4daebf,Democratic,Home,5,432.36,2026-01-29
ORD-8d53eb90-2fe9-4970-aca9-ef5dcc9dee70,CUST-698d4ba2-9a0e-4f13-a975-e026c6028619,Erin Hoffman,colleen97@example.com,Bosnia and Herzegovina,PROD-ec1a8df1-2672-4bc9-a8ee-1f57cf7b35f5,Score,Clothing,3,36.13,2026-01-29
ORD-38d06f0c-3361-44ec-96e2-e793c6ac12b4,CUST-025fee56-dc1c-4356-8610-cd449bf3aff6,Tara Ryan,leesusan@example.org,Ghana,PROD-0656a269-1080-403f-8916-0669649c10d4,Weight,Clothing,2,159.93,2026-02-19
ORD-9796afe4-c7f7-4d7a-b645-372270e2eba8,CUST-6cc6e49a-7041-43c8-ae7a-943c08cb809c,Anthony Ellis,christineross@example.com,Saint Kitts and Nevis,PROD-a81912f6-9be0-43f3-a55b-a3e7cb7abee0,Before,Books,3,319.56,2026-02-06
ORD-a3432c72-bfc3-4a30-aa51-3874056d84c9,CUST-31408d34-9e94-4584-95f2-78ecd83abb57,Lisa Glass,sleonard@example.org,Argentina,PROD-713caca2-9676-4e0a-ae43-04f38e9f11e2,Worker,Home,2,479.83,2026-01-25
ORD-3a14b414-8034-41a3-849f-f8ae607af50b,CUST-872434bf-ef0b-4ee8-875b-534225482263,Robert Nelson,ymoore@example.com,French Southern Territories,PROD-a5c2656c-3da5-404f-8307-8ec38692f294,Next,Clothing,1,211.9,2026-02-12
ORD-aab592e0-8060-47b7-8f47-51e61edb23a9,CUST-cf648f05-0ab8-4af4-a403-1a40b9daeaa8,Dr. James Jordan,troyjohnson@example.com,North Macedonia,PROD-e3796c9f-85ad-4d99-a395-cba2f507c20d,Positive,Home,4,436.14,2026-02-19
