order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-369633e1-4509-4f09-bc34-e5736780bf7c,CUST-84a2578b-f4ac-4ce1-96fc-868f026b4983,Sarah Richardson,margaret04@example.net,Congo,PROD-1a7bb9cc-d3ad-4264-a657-587d954433c3,Them,Clothing,5,493.51,2026-01-30
ORD-c4c4260a-2a22-4a0a-a5ce-39007d29b6b0,CUST-9d808765-9b04-4631-9c8c-bf0c6626d026,Dominique Jensen,dawndean@example.org,Swaziland,PROD-21e27bd7-a8b2-4e7d-811a-81ab8b4ab888,Newspaper,Home,4,267.48,2026-02-18
ORD-fccddce7-3f14-48aa-9e68-8b8f8fc3fb46,CUST-e24497b0-403f-4584-897d-fd96938fe482,Steven Baker,bryan75@example.com,Antigua and Barbuda,PROD-fd9caca6-3146-4962-afa7-e00ee9e5d333,Unit,Sports,3,307.1,2026-02-11
ORD-8caf3d80-2783-45a4-adb3-ca63c7415ebe,CUST-a33b3cf3-bbe8-49f7-b92d-3623bca92f6f,Nicholas Yoder,xjones@example.net,Samoa,PROD-aa31e6ca-4b83-42ce-a76e-1029ca3236a9,So,Home,2,28.27,2026-02-04
ORD-87a0d621-3259-4e1a-b32a-575b9899df45,CUST-9623ca8e-1a08-486d-9ee3-57c495808ae7,Carly Schultz,christinewhite@example.com,Bangladesh,PROD-681071bd-4368-4358-8d75-4d74660482c9,Keep,Books,1,342.1,2026-02-18
ORD-16270cf9-dc1c-4cb8-978c-dbe8071ed7eb,CUST-ea44ed50-3c96-48aa-85cd-d3c65b55ef57,Charles Kirk,amandarusso@example.net,Zimbabwe,PROD-219ae11c-8849-4091-9b10-60032d974587,Military,Clothing,5,389.61,2026-01-23
ORD-8891210e-2c08-496d-b580-7644a77e8992,CUST-5b89de57-4286-4552-b09a-63d4b415a392,Joseph Braun,eric28@example.org,Tuvalu,PROD-00c78a0b-05c6-48cd-bcd5-0429aef8bdc6,Weight,Clothing,3,443.92,2026-02-03
ORD-8c460413-30c3-4bdc-8622-af6b36f02ac6,CUST-685065e5-42c7-4111-a6b0-960a4bcc8bf1,Scott Middleton,emurphy@example.com,Russian Federation,PROD-630dc205-c1e5-41e5-9560-f9f6dc31e00a,Consider,Electronics,5,138.42,2026-01-26
ORD-2bb1dad0-6589-4830-ac2a-6be3e73eb901,CUST-f04ffb48-5d04-40d0-9fb5-2884a325cfb3,Edward Jones,paulingram@example.org,Belgium,PROD-28c01d6c-ac80-44d8-8ce8-e3947fdc04c6,Determine,Home,2,382.19,2026-02-08
ORD-98d4b0bf-4335-44c4-b6fc-0bc517a37725,CUST-20a1461d-54f1-4948-8d41-a7c3df352bbe,Sara Phillips,alanshields@example.net,Northern Mariana Islands,PROD-ed2bcd7b-507f-4554-9075-00173335a522,Although,Home,4,451.26,2026-01-28
ORD-258a77c9-9796-4ed2-9c1f-ece0e2c93fa6,CUST-afaa4d9e-2abb-43ed-b3a5-dceebe68fc48,Stephanie Hutchinson,loridorsey@example.net,Gabon,PROD-fc79f3ec-b725-431b-92e0-d9814ca699b9,More,Sports,5,435.37,2026-02-12
ORD-20c789d5-5242-40ac-ab07-e5e459156236,CUST-ced363ff-99e6-4129-99b4-6140d032476a,Ashley Washington,cgutierrez@example.net,Zimbabwe,PROD-6ae7e997-706f-48ac-ac74-3fcf2388c492,Resource,Books,3,282.28,2026-02-03
ORD-25a2b04c-9b73-46ee-990f-ca10419a1396,CUST-64bb9f7a-1350-43ce-903f-044c9714672d,Diane Peters,fernandolopez@example.com,Kyrgyz Republic,PROD-aec604f0-8085-4dd3-925c-437bc831ae09,Share,Sports,3,255.03,2026-02-01
ORD-f64b35dc-9a29-4400-8524-8c465b6bec50,CUST-c19e5f32-5f42-4778-82c6-fdea5a881f9a,Tracey Ellison,jhampton@example.net,Tunisia,PROD-e942d301-7686-4471-8aa1-fe9383353de5,Officer,Books,4,350.3,2026-02-19
ORD-fff6078b-8b59-4410-b24c-1613bfce3f5a,CUST-9b0dc28c-3f1c-44f4-984b-709f037bb8b6,Anthony Osborne,veronicaharris@example.net,Turkey,PROD-f15fe570-f59c-4360-97c8-c0a8cd06e55e,Only,Clothing,5,347.58,2026-02-04
ORD-33b3a886-c0e5-4874-b7c6-018cff7b7356,CUST-736c3b1c-b0c1-4496-9bb1-6320ca4660fb,Tami Lee,colemantami@example.net,France,PROD-7d2ed9b2-77cb-45b9-b56f-37552e4af57e,Trouble,Home,1,310.19,2026-02-20
ORD-2a3a421f-b365-4388-bf28-0ee2868d8cee,CUST-12f3e631-edfb-4a9a-8357-86f2631a8ca3,Alexis Burnett,umartin@example.com,Croatia,PROD-cf309ce0-8e3f-4c79-b871-8b31b9f3522c,Current,Books,1,82.28,2026-02-22
ORD-fc5f620c-8bdd-4467-9a73-0a10876ce537,CUST-420ed79b-927e-4fc3-94e4-e9136de466e2,Kayla Dunn,tmills@example.com,San Marino,PROD-c4826455-3a88-4533-a534-a01e27ffdf88,Smile,Books,1,363.33,2026-02-18
ORD-84f95f5a-9265-4625-baf4-abf9039c9da5,CUST-fa1d36f1-44a7-4306-bce4-6de7c39de5a0,James Avila,evanalexander@example.net,Wallis and Futuna,PROD-a2af4701-aa1b-4351-b718-1841885fa3d6,Young,Sports,5,57.15,2026-02-15
ORD-e50ea85b-4337-4b49-9388-3893119cd929,CUST-397ac9b4-fc53-4766-9dde-636310f26441,Alyssa King,annperez@example.net,Niger,PROD-9006ddd2-cbf9-40f6-9441-abeb908c90bc,Adult,Sports,3,224.65,2026-02-03
ORD-75dd9b60-63b4-4e88-a1bf-c1da659e5f32,CUST-6b175b54-bcc3-4427-8415-61aec1f532f3,Brett Williams,patrickfisher@example.com,Netherlands Antilles,PROD-161cab7a-a09e-4537-bb3d-126100262dc8,Generation,Electronics,2,295.08,2026-02-19
ORD-f60f44c1-77d5-46a0-81e9-33105d5a9609,CUST-42230d57-7c6c-452f-a437-fab28c2a18dd,Jennifer Kane,masonkaitlyn@example.com,Kuwait,PROD-cff12a65-7d35-4448-bf09-65af19990e83,Lot,Electronics,1,431.83,2026-02-04
