order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-33ad69e8-030e-4a2a-a297-675b7634ade5,CUST-478752c1-dbe6-456c-9d1f-cf5fab7189ec,Amanda Diaz,stanley86@example.org,Jersey,PROD-9628748b-5138-41db-ab3b-bd893dec1874,Other,Home,4,22.42,2026-02-12
ORD-f5463641-7251-4252-8615-63235843cdce,CUST-7b487246-bf9c-43c1-8ef8-f9194551682b,David Ramirez,laura85@example.org,Cambodia,PROD-6d1f43ad-4163-49d4-b0f6-b03b58883a88,Any,Sports,1,27.02,2026-02-20
ORD-f6585b6d-b82b-4c94-b9c6-85ddaec824be,CUST-2e400940-0a86-49dc-8ce9-2baa9f8ffe06,Brian Ruiz,jennifer14@example.org,Belarus,PROD-bb050f86-f48f-41ac-a1c6-0c38938587b7,Economic,Books,5,381.19,2026-01-26
ORD-57aa6a17-e7c7-4c0b-96d4-f9e18572468d,CUST-c22af5e5-5532-46c7-96ee-d91c7c636d9b,Johnny Smith,tgoodwin@example.com,Afghanistan,PROD-e21e8889-4d6e-45ed-b6e6-643eb604eb95,Officer,Clothing,3,71.38,2026-02-10
ORD-e194fe58-d6ed-4516-ad17-301cd91bf659,CUST-8b3a793d-9a7a-40d4-8ef2-9db86a85179e,Eric Bell,mgriffith@example.org,Czech Republic,PROD-345213ed-1c55-4569-9caf-d0c4d5c6fd6d,Score,Home,4,490.63,2026-02-15
ORD-6fe60a04-5240-4f78-b39d-26a7847ea2b4,CUST-7e8c0ec2-aa8b-4861-9423-5fdc46cdc328,Steven Deleon,pagenancy@example.org,Taiwan,PROD-f2e321e4-f925-48db-89ba-7d9fc2eb0aeb,Blood,Home,3,323.21,2026-01-30
ORD-8a5d9551-77be-4d08-b2f6-ae31c0257a34,CUST-bfc031e6-9239-4d8d-aa4e-707fc9afc11d,Grant Phillips,eric95@example.com,Svalbard & Jan Mayen Islands,PROD-ffd889ae-0b7f-4c06-b9d6-6d5d4a03701d,Poor,Sports,2,163.01,2026-02-09
ORD-2ee84ccb-7eaa-433b-bb61-c382f9886709,CUST-adf98f2c-94ff-4572-8484-f9b808a5f948,Samuel Bishop,tylerlisa@example.net,Australia,PROD-59d3e37f-bdea-41d6-aab7-04e38a1f8436,Eye,Clothing,3,395.33,2026-02-14
ORD-68c48e4d-8749-438e-8cec-281b7b9abab9,CUST-3f63f308-4072-497e-b161-4f89edebc6da,Latoya Lewis,awyatt@example.com,Mali,PROD-3f7ba610-7dc7-4d44-8fad-a549ef33794e,Recently,Books,2,145.15,2026-02-21
ORD-8f878833-eafd-45c6-8a2c-da08d3dfb473,CUST-70c20197-36cd-4dab-a570-68ed2a5234ec,Benjamin Jordan,jhill@example.net,Puerto Rico,PROD-857d0ad5-e574-418b-929c-fb6d46566634,Baby,Books,1,149.93,2026-01-30
