order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-ac8db8fe-cc4e-43b0-b4f1-a9a6d58d6ea7,CUST-84e03abb-fe5f-4063-ad90-c66df229e2ed,Jimmy Wong,francisco59@example.net,North Macedonia,PROD-2fa9dfe2-3342-4b0e-80a5-d5db072fb967,When,Books,3,391.76,2026-02-23
ORD-35609f32-6af2-4917-8a74-a7818c79f13c,CUST-9428878a-ff07-455a-b2ef-5731d4f51a3f,Andre Banks,sherry52@example.org,San Marino,PROD-9d02af24-2f14-40c4-ac35-0bb66f841bd5,North,Sports,3,225.66,2026-01-25
ORD-f15beda1-6a2f-456c-93ee-1c0195245830,CUST-52c321c4-e056-40da-8184-c546711f5191,Mr. Daniel Phillips,jenniferforbes@example.net,Senegal,PROD-52a3e28a-76b3-4cd0-8ef5-1ce9ead00f45,Site,Books,1,279.45,2026-02-03
ORD-88f1b210-1402-43b3-a615-7bd567229416,CUST-29d5b3f7-7afb-4154-8441-d380d63ca0cf,Mark Petersen,elizabeth97@example.com,Brazil,PROD-1c20003b-bb85-4328-839a-d53ab5452956,Think,Clothing,5,71.39,2026-02-02
ORD-f359e5af-2341-4597-a83e-4f1840c69e70,CUST-d61cdd4e-50a2-40db-9011-fcc5e338b6c1,Brittany Santos,justin28@example.org,Togo,PROD-1b8c5eaf-346f-47fa-8c54-ba137c15af6c,Key,Books,2,408.38,2026-01-26
ORD-66437dc3-e7df-44b8-a66a-89dc17271661,CUST-46cfbe6b-64ae-4b26-bc08-d91866e8d177,Darren Wilson,lfuller@example.org,Togo,PROD-cb7faf24-93fe-4ecd-8645-b461be311662,Series,Electronics,3,373.28,2026-02-20
ORD-ea27fd1c-ab6c-4626-9994-c5b41168b78b,CUST-dd9a9baa-3833-4985-86a8-a79b3ec4e48b,Linda Bishop,charleshart@example.org,Albania,PROD-40269538-2330-42df-891d-600f7d23ec50,Involve,Home,4,298.03,2026-02-16
ORD-2f74e4c3-9540-40d2-8da8-bb1ae1ffcdad,CUST-d4b9ba7a-3559-4991-8c93-578b66a4b43e,Julie Smith,ricardorobertson@example.net,Israel,PROD-cb87c2f0-f240-488e-906b-d1a2bad738ff,Budget,Clothing,5,363.11,2026-02-14
ORD-2ca05d58-431a-416e-9924-cbe079508cf9,CUST-706a5452-c726-4b9e-9a01-a536b21165f9,Frank Allen,ygraham@example.net,Palestinian Territory,PROD-905149f4-d851-4935-9682-f488d94031fb,Sing,Home,5,31.74,2026-02-09
ORD-4e9861cc-6245-4eb5-859d-b47a2c16f4d9,CUST-265eb85b-1dfd-40fd-b3a6-812bd9501842,Mark Jones,nguyenkenneth@example.net,Jordan,PROD-897e0db7-e585-4234-9289-7182b9cf04fd,Charge,Books,5,39.43,2026-02-19
ORD-79c4c5b1-e4d4-4d17-a4a0-e9c1fe53499a,CUST-a458c94c-e3e7-4dfe-b976-6e9119c473bb,Tina Wilson DDS,martinezkathryn@example.net,Slovakia (Slovak Republic),PROD-fa5bad1c-629d-44c3-b26b-7de2c35a04cc,No,Clothing,1,494.66,2026-02-10
ORD-cac5041e-e628-4d7f-acc4-ca6218d6dbc7,CUST-c1aae63d-6b9a-4a21-aaff-594716aee45f,John Patterson,williamsdanielle@example.net,Bhutan,PROD-2f465717-6667-4459-911f-c802e3ea07b1,Against,Clothing,2,188.47,2026-02-13
ORD-05e1474d-7aef-4ea2-a22f-bedab96e4851,CUST-3e177e9b-f5e9-453f-8b97-617a26f890b2,Andres Garcia,stuart26@example.org,Myanmar,PROD-cc8440b7-e073-4012-b0f1-7ff2493d02ec,Apply,Electronics,3,276.24,2026-02-18
ORD-32313add-c540-4223-a25e-86c59f9d7698,CUST-197e1b94-432c-478f-9c99-2cb06695bf40,Amy Farley,johnstonchristopher@example.net,Kiribati,PROD-16e2b024-60ad-4a77-ad2f-f4a88ef2b847,Inside,Books,2,65.47,2026-02-18
ORD-a817ce7b-4422-4ac3-9403-94aaa9754948,CUST-3e0eb368-446f-496f-8316-ff4b23aacac7,Mrs. Alexis Pena,michael19@example.org,Guyana,PROD-02f89c68-1f7d-477b-91fc-b811b6f98f51,Fish,Home,2,182.81,2026-02-11
ORD-d0b8226e-8314-4222-aa40-bb529a6c97e8,CUST-505c2b75-df64-4ac9-9d9d-3c7874eef300,Robert Melendez,waynejackson@example.com,Timor-Leste,PROD-03eccba3-3765-4bd6-aa7d-6ffcbb681681,Price,Sports,4,322.5,2026-01-29
ORD-9ce28a6f-b936-4e7c-ac0d-d09882db6d68,CUST-dffe5ffb-a51e-4958-abc4-09096fcca2cd,Sally Miller,pdominguez@example.org,Guam,PROD-67daf6a8-f192-48a9-aa13-fcbbfa526396,A,Sports,3,360.85,2026-02-05
ORD-bd320879-1319-4128-91c5-383654f187d7,CUST-27ac72c9-1693-4b40-952a-8ba15b7188fa,Pamela Roberts,joshua70@example.org,Dominican Republic,PROD-7de18d6f-265f-4134-9052-f96bd895e990,Civil,Clothing,4,379.32,2026-02-14
ORD-a155288c-aef7-4dcb-b072-f099d8ac4ce2,CUST-d5031aaa-9dcd-4210-95fa-06310e7e85a4,Alexa Adams,katherine25@example.net,Mauritius,PROD-39b140aa-1990-4734-9c7d-1b167256a09f,Few,Sports,5,206.82,2026-02-18
ORD-083149e3-67f8-4806-b240-122dd2570eee,CUST-b6958db1-a74a-4bf8-bcd4-c86696dcd10c,Amber Pierce,paynejuan@example.org,Vietnam,PROD-d57678b0-5b86-4fd3-aa82-cca6f1c28b34,Expect,Clothing,5,164.88,2026-02-21
ORD-e8a815a5-9099-4283-9008-2a06890e0df3,CUST-c3680e8e-a3b1-4837-9c82-16cab0b1bd1d,Nicholas Mckenzie,tmartinez@example.org,British Virgin Islands,PROD-8d2d25fb-5731-4d2a-a127-b20dffaf281c,Drive,Sports,5,423.93,2026-01-28
ORD-98154963-2051-4663-9ea3-4abddfa15b03,CUST-4fbc96e3-9cb1-4fb5-830c-75e81b5be8f1,Amber Torres,nvaughan@example.com,Pakistan,PROD-a5dd79d1-2781-4786-af92-6e5126ef37df,Just,Sports,2,293.96,2026-02-05
ORD-106c26bf-754a-4819-bd20-0c7f4da609f2,CUST-d24d14d6-0107-45ed-9e32-3ecfe547279e,Zachary Douglas,tracybrown@example.com,United Kingdom,PROD-911142ba-73db-4177-b0cb-2a992332de87,Or,Sports,2,495.55,2026-02-22
ORD-8a35f86e-de6c-41dc-85f0-e99f0404e6ac,CUST-a6511b55-a91b-41d8-b36a-4d96901deddf,James Moreno,alexanderking@example.org,United States Minor Outlying Islands,PROD-1134b6a3-4683-49ea-9dbd-c134e6adf0e8,People,Electronics,2,245.33,2026-02-12
ORD-1a237a1c-6119-4030-8845-a1741152d218,CUST-4505a796-9ade-41d5-b209-ff2e54cc7c0c,Jennifer Kelly,marycollins@example.com,Azerbaijan,PROD-eed85601-77fe-4774-a064-d75d381e91b1,Carry,Books,2,372.54,2026-02-01
ORD-e8a43549-c4ce-4cb5-8fb2-ede61bdd2b7c,CUST-0b7c95c9-2d35-4a5b-bbc6-4b3e81d548f6,Emily Shelton,williamrivera@example.net,Switzerland,PROD-231baa36-9f2e-48e1-a4a1-4fbd0ad36b90,Happen,Electronics,5,332.27,2026-02-17
ORD-60ff516d-22e4-4194-b6d0-0d62c19e3902,CUST-927b085a-eda9-4464-94db-2768af7489d5,Bonnie Stephens,martinezsharon@example.net,Turks and Caicos Islands,PROD-d8d8cf0f-ac17-420c-8afe-dcb8694f36e3,Serious,Electronics,5,304.88,2026-02-09
ORD-46cb4521-a914-44d4-88c5-63e807af5c11,CUST-368d0fff-57ac-4edd-a55e-379ed21da396,Bethany Edwards,youngbrendan@example.com,Latvia,PROD-275fd559-1e37-4a0b-abba-9e262773f801,Know,Home,1,128.49,2026-02-06
ORD-5387b4f4-51d7-4aa6-9e58-330c3ead214c,CUST-10f64cd4-b508-4863-81f7-ac687b120869,Nicole Fuller MD,ucastillo@example.net,Iceland,PROD-1402b38f-1309-4b7f-8097-ec43d315c353,Many,Sports,3,416.5,2026-01-29
ORD-81e9a59a-6929-411d-a76c-473f8089e915,CUST-6f419f08-2177-4e4b-a2bf-916b6e570219,Heather Moore,rodriguezjoseph@example.com,Tajikistan,PROD-a2e3ed41-b8f4-4d4d-ad6a-47ee3435a9af,Little,Home,5,346.39,2026-02-08
ORD-dfa67c5f-5045-48a4-b16c-1854a52cc64d,CUST-0b150a0e-81cd-4756-ac95-3642161b13a2,Mrs. Heather Casey,ramosmartin@example.org,Nepal,PROD-65751d24-845f-4678-94c2-7f8866afd459,Thought,Home,2,406.73,2026-01-31
ORD-798b5fc0-7f6d-4ffd-b61f-e7eff410fb1c,CUST-327ff360-a7a2-459d-aa4e-219d67a3f9d6,Jerome Osborne,kevinrogers@example.com,Venezuela,PROD-03a57b74-9c31-4781-8bea-9faf65622880,Certain,Books,4,130.2,2026-01-26
ORD-abb6d266-fafc-4e5c-8600-1803bbed9f8c,CUST-89096734-a582-4be1-8d40-565ff44adfb6,Michelle Taylor,johnpotter@example.net,Oman,PROD-e77b2571-4a7e-4ecd-a668-d11ce0daca62,Read,Clothing,3,353.84,2026-02-09
ORD-2c5e3363-7ad6-483d-920e-9050ea4f76dc,CUST-4990e75c-3684-4fc3-81c9-2aff2cf0ddde,Tammy Lewis,carrie66@example.net,Guernsey,PROD-e50f3f99-ae9c-4e00-81c5-f93ccb24104e,Social,Clothing,4,486.87,2026-01-28
ORD-23d1e3d7-8dc3-4b0b-afcc-92122b13322f,CUST-00d85e8a-951a-484d-8c59-934fa896ee30,John Hunt,rebecca00@example.org,Cape Verde,PROD-bbd6be04-2092-4820-8319-5a525c50d1f2,Impact,Electronics,3,330.83,2026-02-02
ORD-7f4e48d6-1b85-47d6-a309-092ab565b2ac,CUST-054b11d1-3e13-4512-91cc-fd7c141b7a56,Ronald Baker,michaelbauer@example.net,Tajikistan,PROD-d47ea26d-8617-4376-8f76-10e932941006,Six,Clothing,5,420.68,2026-02-13
