order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-96bb01c0-e6a1-4a37-bd07-35ff47d46722,CUST-1f1fd9a4-a9e5-41cb-9eb1-e66965b6802a,Sabrina Mercado,kevintravis@example.org,Kiribati,PROD-5e54f306-8203-4e4c-902f-5a33c69349f8,Understand,Clothing,1,225.69,2026-02-21
ORD-a6acfe75-2876-489f-87a1-84090c7902e2,CUST-d92f72df-dc64-4400-ad7a-0707be8e8a5f,Sydney Crane,johnmartinez@example.net,Somalia,PROD-1eace802-a582-471f-9a7c-2b11d16354a2,Walk,Books,3,162.12,2026-02-23
ORD-89996fa3-19fb-4e0d-ac61-c3ab0325cd76,CUST-76551a95-334f-45f6-a5cd-56e94d0baed8,Harold Foster,tcole@example.org,El Salvador,PROD-6177fa22-5c54-4b3e-b8b9-52ec0f44a1c3,Technology,Books,1,279.18,2026-02-10
ORD-3da24ea9-df50-46f9-a8e4-3fb820b15076,CUST-8f6b41c0-3474-4fec-a387-680df2437be2,Darren Pham,yyoung@example.net,Botswana,PROD-990d5a47-c970-4810-9449-a35e5a1fd43d,About,Clothing,5,135.71,2026-02-04
ORD-9b021ff5-bb35-41d0-a2d0-09dfedb1f48b,CUST-e79ee252-5bbc-4ce2-b578-c7567fd4b5ab,Daniel Smith,huffvincent@example.net,Micronesia,PROD-45ebe983-bd0a-4f5f-9c93-f2091f5b85bb,Loss,Home,4,265.1,2026-02-22
ORD-1304db52-eef4-4bd1-be2f-bde09864fd7d,CUST-3614ddb6-c35e-43fa-8887-14fe9cceee2a,Lauren Carrillo,wnorris@example.net,Peru,PROD-4309db16-7339-4348-80da-12e241a28ff7,Far,Clothing,4,447.9,2026-02-12
ORD-0cebb15b-3570-4547-b278-79c599e9e4cc,CUST-44391abc-941e-4dca-873d-d32fc34af7a6,Karen Sparks,jeffreymosley@example.net,Jersey,PROD-675b6880-f61f-414b-9520-e35ccc85306d,Again,Sports,3,352.88,2026-01-30
ORD-96aee429-71ee-4d29-9f23-690f7b044a41,CUST-23efc10a-1c54-4b2a-87e1-3adcea093036,Blake Caldwell,shannonvincent@example.com,Madagascar,PROD-551edbf9-80ef-4aba-b5da-32c9c1854b89,Forward,Electronics,3,417.47,2026-02-20
ORD-a7793dc8-f99b-4c76-af34-25789a1a2302,CUST-de53b958-9def-4c8a-9538-41f89814a194,Christopher Santiago,udeleon@example.com,Montenegro,PROD-d8d41fcd-82df-4756-aa05-6d4ee37f3b27,Idea,Clothing,5,229.14,2026-02-04
ORD-5ba11eec-504b-4eb0-8f30-d3a69bb482bc,CUST-7b3fbec7-d4f4-4509-9b13-308a4c82423e,Rachel Turner,elizabethwolfe@example.org,Cote d'Ivoire,PROD-4a0646be-3b62-4475-b823-f010e8dadf33,Small,Electronics,5,87.0,2026-02-04
ORD-f9b5c572-54c3-4eec-8744-860a8d92d4a4,CUST-cd2a631b-dc67-4512-ad1c-78a147cf4a31,Jennifer Hughes,hernandezsabrina@example.net,Guadeloupe,PROD-56dad9d3-5ad0-44fb-896b-5f08369c8331,Move,Books,5,396.29,2026-02-17
ORD-351034c1-73a9-4dc7-9cb5-e1dadcb9afae,CUST-716b5a26-4214-4493-8f30-a5ba090ac359,William Kent,wcunningham@example.com,Belize,PROD-247fc67b-c829-45fc-94b2-8ff857d26937,Fly,Sports,1,233.58,2026-02-05
ORD-26eed32c-35e8-46ad-8318-d1f9518895d8,CUST-98d1e97a-94d2-4c3a-9054-6771bf997f79,Dr. Philip Allen,kenneth96@example.com,Cayman Islands,PROD-5ff3d4b0-595b-405c-80dc-33eb119af0e8,Like,Books,5,242.57,2026-02-23
ORD-4f05cab8-90f1-43b1-a374-17671b271983,CUST-0067e304-782d-4b33-8f6b-f6bace32e7ed,Chelsea Howard,crossjesse@example.org,Falkland Islands (Malvinas),PROD-d9737e2d-c0cb-41e3-833b-cf900635bfbf,Growth,Sports,3,467.33,2026-01-25
ORD-39633582-5fa3-4390-84ba-eb73d1c6e431,CUST-8f005d28-69cb-46c1-bee9-56a5b3ff7b43,Shelby Zavala,eallen@example.com,British Virgin Islands,PROD-41a61c2c-059d-4057-944c-4c244407d6ee,Explain,Electronics,1,375.08,2026-02-21
ORD-cfd0970e-81a2-4612-940c-9544ac8dabd8,CUST-8531cc5b-b1c8-4ddc-ab46-6a8b91fc6541,Nathan Barker,lbarrett@example.org,Ireland,PROD-37e6273f-8866-4cf9-95b3-029f8830035d,Candidate,Sports,4,396.82,2026-02-01
ORD-82e03852-a6b3-4b08-b3ea-1bbce6586b77,CUST-7d45ca82-7322-414c-848e-ce8a8ea060e7,Michelle Richardson,thomas47@example.org,Canada,PROD-28461bff-1da1-4876-b6b9-cb606ad3546a,Treatment,Clothing,1,155.42,2026-02-23
ORD-0023dce3-8206-4fce-a9f4-bb678a4887d2,CUST-6d81768d-8e79-4593-953a-0bb5e1323be3,Patricia Martin,dwilliams@example.com,India,PROD-3244b48c-3fea-4e3c-950d-41b11f4265db,Finish,Home,2,356.41,2026-02-13
ORD-f6f732c2-0713-42a3-b15d-bb36fd1715cb,CUST-0f053877-bea0-4204-9f81-8db701ea1843,Kyle White,alanbrown@example.org,Hong Kong,PROD-06b9c8fb-40be-4275-a403-5a1d4ea0b795,Talk,Electronics,1,374.89,2026-01-28
ORD-3fde5feb-8bc1-4c2f-ba96-9fe4fc2a6ef4,CUST-c904dd2c-5841-428f-a292-e069b1aaed79,Eric Frye,katherinesanchez@example.net,Bhutan,PROD-39850bf3-20eb-439a-b3dd-3292e47b7317,Check,Clothing,3,462.0,2026-02-15
ORD-b676c30b-ad3d-478b-928c-00f8ee6d4add,CUST-417ed172-f003-4f40-a68d-9165f561d1cd,Kelly Thomas,regina21@example.com,Tunisia,PROD-52d20bbe-6932-4683-b28e-b07d8d232a14,Happen,Sports,4,145.86,2026-02-16
ORD-13e19bc2-1146-4fc3-93c1-4693a605cc1a,CUST-2baa94ad-5cf2-40d2-9b66-7170d29c7d43,Manuel Allen,bmartinez@example.net,Guernsey,PROD-dc8719d1-cf4e-41d6-9199-66c632cbb106,Recent,Electronics,5,42.23,2026-02-08
ORD-9776792f-3dcf-41dc-a9f1-e03654755349,CUST-8680b01a-4421-47e5-947d-55572e4b16dd,Rose Buck,nicole32@example.net,Guernsey,PROD-c08c277e-cadb-48a1-9d7d-8bccaa6301be,Six,Clothing,1,78.62,2026-02-07
ORD-0e598c59-4d97-4dce-8fed-9e02ccdce578,CUST-48a8149d-d4ad-42a1-8753-244e79df4e49,Anthony Hudson,davisdanielle@example.com,Finland,PROD-71525755-b4c0-42d1-8fae-35b25fabcfbd,Night,Clothing,1,493.83,2026-01-30
ORD-3c853838-13b7-4c9f-a52e-6e13fb9404d2,CUST-6bc995a1-3e2a-48de-9ae6-080e41d81233,Nicholas Jennings,karen05@example.com,Yemen,PROD-82da2f55-3d9e-4d99-a926-196574e789d8,Too,Electronics,2,71.38,2026-02-06
ORD-d18e39f2-c80c-4219-8763-b2b7b9fa67d1,CUST-e30a7e7f-5ab7-448a-9b98-d9091ddfa665,Billy Mccarthy,collinslindsey@example.org,Eritrea,PROD-a4b3b2c7-87e7-4be8-a333-dd2c7cc0d099,Order,Clothing,1,99.86,2026-01-25
ORD-9e5104b6-593c-4b86-98ed-7310fa6fd427,CUST-9a02acb8-336a-4d54-a917-535cb62266ec,Alyssa Brown,latoyacox@example.com,Italy,PROD-6b83f89b-953e-4bbb-86fa-d0fdf3d353cb,Even,Home,1,446.33,2026-02-08
ORD-0c23426c-2f0a-4418-9d16-ff51bb0a6472,CUST-0cfa0c95-3159-4e9a-a966-a9839db1b9b3,Joseph Williams,aprilmorris@example.net,Swaziland,PROD-bbef7b8f-872e-46e2-8e76-5185a2c5557f,Not,Sports,5,496.69,2026-02-04
ORD-8ec2ad3d-b201-4d39-8a72-03f290a7d0b1,CUST-d9b1ee93-9cff-46ef-a24c-5611c5b92863,Ashley Wong,tbush@example.com,Andorra,PROD-b795774f-9b54-4f36-8ffc-0aafd552f623,Energy,Books,5,235.87,2026-02-09
ORD-183d15a9-d971-4312-b891-19aebd2bd6e4,CUST-09e3afe0-998a-44a7-8b4a-152ffa68061b,Gregory Randall,michaeljohnson@example.net,Georgia,PROD-a8d1c3c7-2aba-4a5f-80ae-fee8d3da11ab,Kitchen,Home,5,481.94,2026-02-19
ORD-1d3d583b-7991-4dd4-b126-de40e982e654,CUST-5c4d33a9-d023-48fa-959d-90db00b46a4d,Francisco Smith,whitechristopher@example.org,Tokelau,PROD-ff36c5cb-90d5-4bda-852b-fef572d2f32a,Increase,Clothing,5,67.55,2026-01-28
ORD-10e6643c-7e69-4843-9651-ed048e59f05f,CUST-c8cef5ce-8a14-4f0e-9e21-cebef4ece1b7,Christopher Brooks,woodardtaylor@example.net,American Samoa,PROD-b36bfc14-70ec-41eb-a557-1368019d1eb4,Cut,Sports,5,325.73,2026-02-22
ORD-c567facc-2c8d-4fd7-9426-d725edac6d06,CUST-31ea5177-bc03-4697-bdc2-74875b9636f9,Michael Garrett,matthewmontes@example.net,Equatorial Guinea,PROD-8f30e77d-4d1e-45ee-a694-721fc578a031,Across,Books,1,453.1,2026-02-06
