order_code,customer_code,customer_name,email,country,product_code,product_name,category,quantity,unit_price,order_date
ORD-8e8611f8-d240-43d9-9a09-757166400362,CUST-03d60c9a-65f9-4db7-bf85-6f468694bd6b,Susan Taylor,christophercarr@example.com,Sudan,PROD-8d79dbda-0b2b-486f-be77-3fbe8abf8051,Thank,Home,3,437.89,2026-02-17
ORD-ebe7fb31-b767-4a9d-b4f6-790fe4948bb3,CUST-8c69da1f-b3ea-4922-b861-2f284f1e0800,Alec Rogers,wellsbrandon@example.com,Gabon,PROD-2f31a549-512e-4eaf-bd08-ff7aea30aaa9,Election,Home,5,426.78,2026-02-10
ORD-0245086f-3cbc-488c-93fa-74417088da65,CUST-66372efd-c752-4821-9387-9d60fe6ed974,Jenny Harrison,michelle28@example.net,Ireland,PROD-270ac988-9db5-4969-99ac-df03e6b763bb,Away,Electronics,2,66.87,2026-02-13
ORD-428bb00c-0819-434b-91b0-718f4a139b76,CUST-ebb0ac06-17b9-4295-ac4f-72522606d80c,Gina Harrington,kellybrooks@example.org,Zambia,PROD-1895e709-ad7b-423c-85cb-bb92272bf4d2,Population,Electronics,5,472.59,2026-02-20
ORD-bdc3ea96-fe68-4b07-bc32-e166256f5856,CUST-e8d813d8-c016-4441-8821-ea8c2346a52b,Jamie Chen,mwilson@example.org,Netherlands Antilles,PROD-f8a651f1-d4b3-4011-be52-df5015d9eb8b,Yard,Electronics,2,443.68,2026-02-18
ORD-a0124ae4-7abb-4fdd-b7ea-fb608e2616e3,CUST-0a8fd527-cf07-46ac-9cf4-d278ad053b9a,Zachary Sullivan,drewholden@example.com,Isle of Man,PROD-ad2770db-a65a-4cb3-a617-a958becf4853,Audience,Books,2,313.49,2026-02-01
ORD-f3f2db7b-b9ac-4b83-88eb-088314e65c65,CUST-c144915c-6739-41be-97de-6717c6b64bc0,Melanie Patterson,robertpineda@example.com,Bhutan,PROD-c914c520-2071-470e-a02a-472c0222c899,Pattern,Home,5,462.84,2026-01-27
ORD-8d160e04-be02-4a15-8ce8-93fe791678f3,CUST-606253d0-2aa2-490e-8b05-95b351837f0a,Erin Baker,jeffrey93@example.com,Romania,PROD-71849e00-ea6d-442c-ae77-e5e8d8824c09,Thought,Electronics,5,101.59,2026-01-31
ORD-6f190ddd-afca-4b27-99ab-eb9e2616a7a5,CUST-3a6a0c44-2cf3-4836-a2e5-fb3091a39db4,Andrew Day,gmccarthy@example.org,Bouvet Island (Bouvetoya),PROD-e918e86b-4eee-47bb-a107-67650221fe04,Reflect,Electronics,5,142.92,2026-02-10
ORD-65173d1f-2fdb-421d-930a-3b0cec17eeda,CUST-db687934-11e0-4b2d-aafd-a93f0865bdd1,Andre Thompson,rebeccasawyer@example.com,Cuba,PROD-e4baa6e4-c4e0-47ff-bb3e-0625393d6028,Home,Clothing,2,462.89,2026-02-12
